"Statistic Label","Month","Meteorological Weather Station","UNIT","VALUE"
"Precipitation Amount","1961 March","Casement","Millimetres",""
"Precipitation Amount","1961 March","Phoenix Park","Millimetres",""
"Precipitation Amount","1961 March","Roches Point","Millimetres",""
"Precipitation Amount","1961 March","Markree","Millimetres",""
"Precipitation Amount","1961 April","Malin Head","Millimetres","124.5"
"Precipitation Amount","1961 April","Claremorris","Millimetres","90.2"
"Precipitation Amount","1961 April","Valentia Observatory","Millimetres","147.8"
"Precipitation Amount","1961 April","Belmullet","Millimetres","91.9"
"Precipitation Amount","1961 April","Shannon Airport","Millimetres","95.9"
"Precipitation Amount","1961 April","Dublin Airport","Millimetres","90.4"
"Precipitation Amount","1961 April","Mullingar","Millimetres","109.8"
"Precipitation Amount","1961 April","Cork Airport","Millimetres",""
"Precipitation Amount","1961 April","Casement","Millimetres",""
"Precipitation Amount","1961 April","Phoenix Park","Millimetres",""
"Precipitation Amount","1961 April","Roches Point","Millimetres",""
"Precipitation Amount","1961 April","Markree","Millimetres",""
"Precipitation Amount","1961 May","Malin Head","Millimetres","47.2"
"Precipitation Amount","1961 May","Claremorris","Millimetres","57.5"
"Precipitation Amount","1961 May","Valentia Observatory","Millimetres","44.3"
"Precipitation Amount","1961 May","Belmullet","Millimetres","56.7"
"Precipitation Amount","1961 May","Shannon Airport","Millimetres","32.6"
"Precipitation Amount","1961 May","Dublin Airport","Millimetres","29.6"
"Precipitation Amount","1961 May","Mullingar","Millimetres","55.3"
"Precipitation Amount","1961 May","Cork Airport","Millimetres",""
"Precipitation Amount","1961 May","Casement","Millimetres",""
"Precipitation Amount","1961 May","Phoenix Park","Millimetres",""
"Precipitation Amount","1961 May","Roches Point","Millimetres",""
"Precipitation Amount","1961 May","Markree","Millimetres",""
"Precipitation Amount","1961 June","Malin Head","Millimetres","49.9"
"Precipitation Amount","1961 June","Claremorris","Millimetres","57.9"
"Precipitation Amount","1961 June","Valentia Observatory","Millimetres","59.4"
"Precipitation Amount","1961 June","Belmullet","Millimetres","64.5"
"Precipitation Amount","1961 June","Shannon Airport","Millimetres","42.2"
"Precipitation Amount","1961 June","Dublin Airport","Millimetres","42.4"
"Precipitation Amount","1961 June","Mullingar","Millimetres","56.9"
"Precipitation Amount","1961 June","Cork Airport","Millimetres",""
"Precipitation Amount","1961 June","Casement","Millimetres",""
"Precipitation Amount","1961 June","Phoenix Park","Millimetres",""
"Precipitation Amount","1961 June","Roches Point","Millimetres",""
"Precipitation Amount","1961 June","Markree","Millimetres",""
"Precipitation Amount","1961 July","Malin Head","Millimetres","73.3"
"Precipitation Amount","1961 July","Claremorris","Millimetres","122.7"
"Precipitation Amount","1961 July","Valentia Observatory","Millimetres","93.5"
"Precipitation Amount","1961 July","Belmullet","Millimetres","117.2"
"Precipitation Amount","1961 July","Shannon Airport","Millimetres","81.1"
"Precipitation Amount","1961 July","Dublin Airport","Millimetres","52.6"
"Precipitation Amount","1961 July","Mullingar","Millimetres","82.5"
"Precipitation Amount","1961 July","Cork Airport","Millimetres",""
