"Statistic Label","Month","Meteorological Weather Station","UNIT","VALUE"
"Mean Wind Speed","1962 June","Dublin Airport","Knots","10.1"
"Mean Wind Speed","1962 June","Mullingar","Knots","9.1"
"Mean Wind Speed","1962 June","Cork Airport","Knots","11.2"
"Mean Wind Speed","1962 June","Casement","Knots",""
"Mean Wind Speed","1962 June","Phoenix Park","Knots",""
"Mean Wind Speed","1962 June","Roches Point","Knots",""
"Mean Wind Speed","1962 June","Markree","Knots",""
"Mean Wind Speed","1962 July","Malin Head","Knots","11.3"
"Mean Wind Speed","1962 July","Claremorris","Knots","8"
"Mean Wind Speed","1962 July","Valentia Observatory","Knots","8.5"
"Mean Wind Speed","1962 July","Belmullet","Knots","10.8"
"Mean Wind Speed","1962 July","Shannon Airport","Knots","8.4"
"Mean Wind Speed","1962 July","Dublin Airport","Knots","8.4"
"Mean Wind Speed","1962 July","Mullingar","Knots","6.8"
"Mean Wind Speed","1962 July","Cork Airport","Knots","9.6"
"Mean Wind Speed","1962 July","Casement","Knots",""
"Mean Wind Speed","1962 July","Phoenix Park","Knots",""
"Mean Wind Speed","1962 July","Roches Point","Knots",""
"Mean Wind Speed","1962 July","Markree","Knots",""
"Mean Wind Speed","1962 August","Malin Head","Knots","15.3"
"Mean Wind Speed","1962 August","Claremorris","Knots","9"
"Mean Wind Speed","1962 August","Valentia Observatory","Knots","9.6"
"Mean Wind Speed","1962 August","Belmullet","Knots","13.1"
"Mean Wind Speed","1962 August","Shannon Airport","Knots","9.6"
"Mean Wind Speed","1962 August","Dublin Airport","Knots","10.4"
"Mean Wind Speed","1962 August","Mullingar","Knots","8.6"
"Mean Wind Speed","1962 August","Cork Airport","Knots","10.5"
"Mean Wind Speed","1962 August","Casement","Knots",""
"Mean Wind Speed","1962 August","Phoenix Park","Knots",""
"Mean Wind Speed","1962 August","Roches Point","Knots",""
"Mean Wind Speed","1962 August","Markree","Knots",""
"Mean Wind Speed","1962 September","Malin Head","Knots","12.4"
"Mean Wind Speed","1962 September","Claremorris","Knots","6.9"
"Mean Wind Speed","1962 September","Valentia Observatory","Knots","9.4"
"Mean Wind Speed","1962 September","Belmullet","Knots","11.5"
"Mean Wind Speed","1962 September","Shannon Airport","Knots","8.1"
"Mean Wind Speed","1962 September","Dublin Airport","Knots","9"
"Mean Wind Speed","1962 September","Mullingar","Knots","6.3"
"Mean Wind Speed","1962 September","Cork Airport","Knots","10.8"
"Mean Wind Speed","1962 September","Casement","Knots",""
"Mean Wind Speed","1962 September","Phoenix Park","Knots",""
"Mean Wind Speed","1962 September","Roches Point","Knots",""
"Mean Wind Speed","1962 September","Markree","Knots",""
"Mean Wind Speed","1962 October","Malin Head","Knots","14"
"Mean Wind Speed","1962 October","Claremorris","Knots","7.6"
"Mean Wind Speed","1962 October","Valentia Observatory","Knots","7.9"
"Mean Wind Speed","1962 October","Belmullet","Knots","13.3"
"Mean Wind Speed","1962 October","Shannon Airport","Knots","7.4"
"Mean Wind Speed","1962 October","Dublin Airport","Knots","8.4"
"Mean Wind Speed","1962 October","Mullingar","Knots","6.6"
"Mean Wind Speed","1962 October","Cork Airport","Knots","9.9"
"Mean Wind Speed","1962 October","Casement","Knots",""
"Mean Wind Speed","1962 October","Phoenix Park","Knots",""
"Mean Wind Speed","1962 October","Roches Point","Knots",""
"Mean Wind Speed","1962 October","Markree","Knots",""
"Mean Wind Speed","1962 November","Malin Head","Knots","13.3"
"Mean Wind Speed","1962 November","Claremorris","Knots","5.7"
"Mean Wind Speed","1962 November","Valentia Observatory","Knots","7.8"
"Mean Wind Speed","1962 November","Belmullet","Knots","9.9"
"Mean Wind Speed","1962 November","Shannon Airport","Knots","7.4"
"Mean Wind Speed","1962 November","Dublin Airport","Knots","9.8"
"Mean Wind Speed","1962 November","Mullingar","Knots","6.3"
"Mean Wind Speed","1962 November","Cork Airport","Knots","9.6"
"Mean Wind Speed","1962 November","Casement","Knots",""
"Mean Wind Speed","1962 November","Phoenix Park","Knots",""
"Mean Wind Speed","1962 November","Roches Point","Knots",""
"Mean Wind Speed","1962 November","Markree","Knots",""
"Mean Wind Speed","1962 December","Malin Head","Knots","20"
"Mean Wind Speed","1962 December","Claremorris","Knots","10.9"
"Mean Wind Speed","1962 December","Valentia Observatory","Knots","13.4"
"Mean Wind Speed","1962 December","Belmullet","Knots","16.2"
"Mean Wind Speed","1962 December","Shannon Airport","Knots","13.1"
"Mean Wind Speed","1962 December","Dublin Airport","Knots","13.4"
"Mean Wind Speed","1962 December","Mullingar","Knots","10.6"
"Mean Wind Speed","1962 December","Cork Airport","Knots","14.5"
"Mean Wind Speed","1962 December","Casement","Knots",""
"Mean Wind Speed","1962 December","Phoenix Park","Knots",""
"Mean Wind Speed","1962 December","Roches Point","Knots",""
"Mean Wind Speed","1962 December","Markree","Knots",""
"Mean Wind Speed","1963 January","Malin Head","Knots","18.8"
"Mean Wind Speed","1963 January","Claremorris","Knots","9.8"
"Mean Wind Speed","1963 January","Valentia Observatory","Knots","11"
"Mean Wind Speed","1963 January","Belmullet","Knots","11.8"
"Mean Wind Speed","1963 January","Shannon Airport","Knots","10.3"
"Mean Wind Speed","1963 January","Dublin Airport","Knots","13"
"Mean Wind Speed","1963 January","Mullingar","Knots","7.6"
"Mean Wind Speed","1963 January","Cork Airport","Knots","13.9"
"Mean Wind Speed","1963 January","Casement","Knots",""
"Mean Wind Speed","1963 January","Phoenix Park","Knots",""
"Mean Wind Speed","1963 January","Roches Point","Knots",""
"Mean Wind Speed","1963 January","Markree","Knots",""
"Mean Wind Speed","1963 February","Malin Head","Knots","17.1"
"Mean Wind Speed","1963 February","Claremorris","Knots","10.8"
"Mean Wind Speed","1963 February","Valentia Observatory","Knots","11.6"
"Mean Wind Speed","1963 February","Belmullet","Knots","13.5"
"Mean Wind Speed","1963 February","Shannon Airport","Knots","12.5"
"Mean Wind Speed","1963 February","Dublin Airport","Knots","13"
"Mean Wind Speed","1963 February","Mullingar","Knots","8.9"
"Mean Wind Speed","1963 February","Cork Airport","Knots","14.3"
"Mean Wind Speed","1963 February","Casement","Knots",""
"Mean Wind Speed","1963 February","Phoenix Park","Knots",""
"Mean Wind Speed","1963 February","Roches Point","Knots",""
"Mean Wind Speed","1963 February","Markree","Knots",""
"Mean Wind Speed","1963 March","Malin Head","Knots","14.2"
"Mean Wind Speed","1963 March","Claremorris","Knots","11.5"
"Mean Wind Speed","1963 March","Valentia Observatory","Knots","12.1"
