"Statistic Label","Month","Meteorological Weather Station","UNIT","VALUE"
"Mean Maximum Temperature","1962 February","Phoenix Park","Degrees C",""
"Mean Maximum Temperature","1962 February","Roches Point","Degrees C",""
"Mean Maximum Temperature","1962 February","Markree","Degrees C",""
"Mean Maximum Temperature","1962 March","Malin Head","Degrees C","6.6"
"Mean Maximum Temperature","1962 March","Claremorris","Degrees C","7.9"
"Mean Maximum Temperature","1962 March","Valentia Observatory","Degrees C","9.4"
"Mean Maximum Temperature","1962 March","Belmullet","Degrees C","8.3"
"Mean Maximum Temperature","1962 March","Shannon Airport","Degrees C","9.2"
"Mean Maximum Temperature","1962 March","Dublin Airport","Degrees C","6.8"
"Mean Maximum Temperature","1962 March","Mullingar","Degrees C","7.3"
"Mean Maximum Temperature","1962 March","Cork Airport","Degrees C","7.5"
"Mean Maximum Temperature","1962 March","Casement","Degrees C",""
"Mean Maximum Temperature","1962 March","Phoenix Park","Degrees C",""
"Mean Maximum Temperature","1962 March","Roches Point","Degrees C",""
"Mean Maximum Temperature","1962 March","Markree","Degrees C",""
"Mean Maximum Temperature","1962 April","Malin Head","Degrees C","10.4"
"Mean Maximum Temperature","1962 April","Claremorris","Degrees C","12.5"
"Mean Maximum Temperature","1962 April","Valentia Observatory","Degrees C","12.5"
"Mean Maximum Temperature","1962 April","Belmullet","Degrees C","11.9"
"Mean Maximum Temperature","1962 April","Shannon Airport","Degrees C","13"
"Mean Maximum Temperature","1962 April","Dublin Airport","Degrees C","10.9"
"Mean Maximum Temperature","1962 April","Mullingar","Degrees C","12.4"
"Mean Maximum Temperature","1962 April","Cork Airport","Degrees C","11.2"
"Mean Maximum Temperature","1962 April","Casement","Degrees C",""
"Mean Maximum Temperature","1962 April","Phoenix Park","Degrees C",""
"Mean Maximum Temperature","1962 April","Roches Point","Degrees C",""
"Mean Maximum Temperature","1962 April","Markree","Degrees C",""
"Mean Maximum Temperature","1962 May","Malin Head","Degrees C","12.2"
"Mean Maximum Temperature","1962 May","Claremorris","Degrees C","14.1"
"Mean Maximum Temperature","1962 May","Valentia Observatory","Degrees C","14"
"Mean Maximum Temperature","1962 May","Belmullet","Degrees C","13.7"
"Mean Maximum Temperature","1962 May","Shannon Airport","Degrees C","15.1"
"Mean Maximum Temperature","1962 May","Dublin Airport","Degrees C","13.9"
"Mean Maximum Temperature","1962 May","Mullingar","Degrees C","14.8"
"Mean Maximum Temperature","1962 May","Cork Airport","Degrees C","13.3"
"Mean Maximum Temperature","1962 May","Casement","Degrees C",""
"Mean Maximum Temperature","1962 May","Phoenix Park","Degrees C",""
"Mean Maximum Temperature","1962 May","Roches Point","Degrees C",""
"Mean Maximum Temperature","1962 May","Markree","Degrees C",""
"Mean Maximum Temperature","1962 June","Malin Head","Degrees C","15.4"
"Mean Maximum Temperature","1962 June","Claremorris","Degrees C","16.6"
"Mean Maximum Temperature","1962 June","Valentia Observatory","Degrees C","16.6"
"Mean Maximum Temperature","1962 June","Belmullet","Degrees C","15.3"
"Mean Maximum Temperature","1962 June","Shannon Airport","Degrees C","17.4"
"Mean Maximum Temperature","1962 June","Dublin Airport","Degrees C","16.7"
"Mean Maximum Temperature","1962 June","Mullingar","Degrees C","17.4"
"Mean Maximum Temperature","1962 June","Cork Airport","Degrees C","16.1"
"Mean Maximum Temperature","1962 June","Casement","Degrees C",""
"Mean Maximum Temperature","1962 June","Phoenix Park","Degrees C",""
"Mean Maximum Temperature","1962 June","Roches Point","Degrees C",""
"Mean Maximum Temperature","1962 June","Markree","Degrees C",""
"Mean Maximum Temperature","1962 July","Malin Head","Degrees C","15.4"
"Mean Maximum Temperature","1962 July","Claremorris","Degrees C","17.2"
"Mean Maximum Temperature","1962 July","Valentia Observatory","Degrees C","17.6"
"Mean Maximum Temperature","1962 July","Belmullet","Degrees C","16.9"
"Mean Maximum Temperature","1962 July","Shannon Airport","Degrees C","18.6"
"Mean Maximum Temperature","1962 July","Dublin Airport","Degrees C","16.9"
"Mean Maximum Temperature","1962 July","Mullingar","Degrees C","17.3"
"Mean Maximum Temperature","1962 July","Cork Airport","Degrees C","17.2"
"Mean Maximum Temperature","1962 July","Casement","Degrees C",""
"Mean Maximum Temperature","1962 July","Phoenix Park","Degrees C",""
"Mean Maximum Temperature","1962 July","Roches Point","Degrees C",""
"Mean Maximum Temperature","1962 July","Markree","Degrees C",""
"Mean Maximum Temperature","1962 August","Malin Head","Degrees C","16"
"Mean Maximum Temperature","1962 August","Claremorris","Degrees C","17.3"
"Mean Maximum Temperature","1962 August","Valentia Observatory","Degrees C","17.1"
"Mean Maximum Temperature","1962 August","Belmullet","Degrees C","16.4"
"Mean Maximum Temperature","1962 August","Shannon Airport","Degrees C","17.8"
"Mean Maximum Temperature","1962 August","Dublin Airport","Degrees C","17.3"
"Mean Maximum Temperature","1962 August","Mullingar","Degrees C","17.5"
"Mean Maximum Temperature","1962 August","Cork Airport","Degrees C","16.9"
"Mean Maximum Temperature","1962 August","Casement","Degrees C",""
"Mean Maximum Temperature","1962 August","Phoenix Park","Degrees C",""
"Mean Maximum Temperature","1962 August","Roches Point","Degrees C",""
"Mean Maximum Temperature","1962 August","Markree","Degrees C",""
"Mean Maximum Temperature","1962 September","Malin Head","Degrees C","14.5"
"Mean Maximum Temperature","1962 September","Claremorris","Degrees C","14.9"
"Mean Maximum Temperature","1962 September","Valentia Observatory","Degrees C","16"
"Mean Maximum Temperature","1962 September","Belmullet","Degrees C","14.8"
"Mean Maximum Temperature","1962 September","Shannon Airport","Degrees C","16.1"
"Mean Maximum Temperature","1962 September","Dublin Airport","Degrees C","15.2"
"Mean Maximum Temperature","1962 September","Mullingar","Degrees C","15"
"Mean Maximum Temperature","1962 September","Cork Airport","Degrees C","15.1"
"Mean Maximum Temperature","1962 September","Casement","Degrees C",""
"Mean Maximum Temperature","1962 September","Phoenix Park","Degrees C",""
"Mean Maximum Temperature","1962 September","Roches Point","Degrees C",""
"Mean Maximum Temperature","1962 September","Markree","Degrees C",""
